userName;score;at;content;label
Pengguna Google;2;22/04/2025 11:12;. Hapus Cache Aplikasi Cache adalah ruang penyimpanan sementara pada perangkat yang berfungsi mempercepat loading sistem aplikasi. Agar CapCut bisa melakukan proses ekspor video yang sudah diedit, cobalah untuk menghapus singgahan aplikasi tersebut. ADVERTISEMENT Cara hapus cache aplikasi CapCut pada ponsel Android bisa disimak pada rincian berikut ini. Buka menu Settings di aplikasi Android. Gulir layar dan klik Apps. Pilih aplikasi CapCut pada daftar aplikasi yang muncul. Pilih ‘Storage;netral
Pengguna Google;1;22/04/2025 10:32;Aplikasi gak jelas apa apa pro. Admin butuh makan;negatif
Pengguna Google;1;22/04/2025 05:25;GILA BANGET CAPCUT, BUAT SIMPAN (PERCADANGAN) AJA HARUS BAYAR NJIRR, HAMPIR PRO SEMUA;negatif
Pengguna Google;3;22/04/2025 03:52;g ska;negatif
Pengguna Google;1;22/04/2025 00:24;capcut aneh banget ajg;negatif
Pengguna Google;5;21/04/2025 18:12;?????? s????? ???????? ??? ???????? s??? ???????? ???? ???? s???;positif
Pengguna Google;5;21/04/2025 15:05;aplikasi ini sangat berguna bagi saya,jika saya malas ngedi di tiktok,saya bisa menggunakan capcut ini??;positif
Pengguna Google;1;21/04/2025 11:14;ke ta1, masa gambar hitam semua gamabar dh ku gnti apa juga mkin gajelas cc;negatif
Pengguna Google;5;21/04/2025 10:05;baguss;positif
Pengguna Google;5;20/04/2025 16:05;cakep untuk edit foto sung ae Doungload;positif
Pengguna Google;1;20/04/2025 00:06;aplikasinya gak jelas suka terkembali sendiri haduh;negatif
Pengguna Google;5;19/04/2025 14:50;Bagus sekali;positif
Pengguna Google;5;18/04/2025 18:09;Dari saya dari dulu sampe sekarang aplikasi ini mantap untuk saya;positif
Pengguna Google;3;18/04/2025 07:33;tolong diperbaiki bug nya ??;negatif
Pengguna Google;1;17/04/2025 15:42;karena pas aku download gak loging teros;positif
Pengguna Google;5;17/04/2025 07:39;PRO!, PRO MULU!;negatif
Pengguna Google;4;16/04/2025 23:17;Memori ku penuh gk bisa buat aku hapus permainan ku ada 5 yang gk di hapus 3;negatif
Pengguna Google;1;16/04/2025 22:32;suka ngelag terus udah ku instal ulang tetap aja suka ngelag penyebab ngelag -kebanyakan iklan -kebanyakan pro -hama;negatif
Pengguna Google;1;16/04/2025 13:47;capcut kenapa??!! dikit dikit pro, mau ngedit jadi susah loh! lebih enak capcut yang dulu pas ga pro. sekarang fitur fitur bagus jadi pro, dikit dikit iklan. kenapa kebanyakan pro sih? gajelas banget. jadi males buat edit di capcut.;negatif
Pengguna Google;5;16/04/2025 12:35;apk nya bagus banget kaya kucing berak;negatif
Pengguna Google;3;16/04/2025 08:38;berat + bagus ada bnyk templet tpi kadang suka ngelag si update nya bikin memo cepet penuh + harus ngapus bbrp apk ??;negatif
Pengguna Google;5;16/04/2025 06:56;bagus;positif
Pengguna Google;1;15/04/2025 02:34;sekarang aplikasi ini, makin lama makin buat emosi, ngga bagus sama sekali;negatif
Pengguna Google;3;14/04/2025 16:07;kok tugas kreasiku dikit bgt min? padahal ada salah satu member agensiku tugas kreasinya dr non domestik semua. pdhl punyaku udh gw atur tuh tp ttp ga muncul yg tugas luar. pdhl versi 14.0.0 ini gimana dong;negatif
Pengguna Google;5;14/04/2025 11:53;saya bakar capcut nii;negatif
Pengguna Google;1;13/04/2025 12:28;udah banyak memori,banyak iklan pula,banyak bug juga,sekali hapus, download lagi,eh?pas udah diinstal tiba-tiba ke batal sendiri,kayak apa lah gitu,mb nya kayak terlalu banyak,hp ayah saya adek saya pinjam hp ayah saya,adek saya download banyak,gada tuh memori gitu?ini saya download beberapa ajah udah banyak banget,padahal cuma download dikir banget,dan juga yang saya download penting semua,aplikasi tolong diperbaiki ya,mb nya dikurangin ??;negatif
Pengguna Google;5;13/04/2025 12:03;???????;netral
Pengguna Google;1;13/04/2025 11:29;mohon maaf sebelum nya aku kasih bintang satu tapi aku janji kalo bisa masuk ke Capcut dan mengedit aku bakal kasih bintang 5;negatif
Pengguna Google;1;13/04/2025 10:40;capcutnya mentalan;negatif
Pengguna Google;2;13/04/2025 02:24;Min pliss ga usah ada iklannya Napa min;negatif
Pengguna Google;1;12/04/2025 12:35;gimana sih sekarang apk nya suka ngelag ngebug padahal dulu aman² aja banyak iklan pula perbaiki dong trus mau ngedit muter trus padahal sinyal oke lo gimana sih;negatif
Pengguna Google;1;12/04/2025 11:47;FITUR PRO KEK KONZ;negatif
Pengguna Google;5;12/04/2025 09:37;bagus;positif
Pengguna Google;1;11/04/2025 14:28;gak usah bayar expor;negatif
Pengguna Google;5;11/04/2025 09:44;bagus banget;positif
Pengguna Google;3;10/04/2025 07:55;y, bgs. tapi itu memorinya bisa di rendahin lagi gak? udahlah pro semua, ditambah PENYIMPANANNYA ITU LOH! NGURAS MEMORI BANGET TAUKK!!!! KURANGIN GAK LO! ?? sama fitur pro kurangin lah, jadiin CapCut kaya dulu lagi.;negatif
Pengguna Google;1;09/04/2025 14:11;anj anj apa si sudah lama lama ng ekspor gk masuk galeri anj udh dua kali lo;negatif
Pengguna Google;1;09/04/2025 12:55;ga seru kaya dlu;netral
Pengguna Google;5;09/04/2025 12:10;Wowwww;netral
Pengguna Google;2;09/04/2025 07:57;pada pro??;negatif
Pengguna Google;4;09/04/2025 07:37;????????;positif
Pengguna Google;5;07/04/2025 16:27;aplikasi nya bagus;positif
Pengguna Google;5;07/04/2025 12:24;kinapa tebisa didownload anjingg;negatif
Pengguna Google;5;07/04/2025 12:10;Seruuuuuuuuuuuuu bgt;positif
Pengguna Google;5;07/04/2025 10:46;good;positif
Pengguna Google;4;05/04/2025 11:36;babi ya kori;negatif
Pengguna Google;1;04/04/2025 14:37;knapa aku gk bisa dolnot nya;negatif
Pengguna Google;2;03/04/2025 07:53;banyak iklan nya dan hp jadi lemot.;negatif
Pengguna Google;2;02/04/2025 11:34;Milla M. h. k benar saya juga;netral
Pengguna Google;1;02/04/2025 11:15;iklan nya tolong di kurangi bg ??;negatif
Pengguna Google;1;02/04/2025 07:57;aplikasi kikir,tambah hari tambah aja fiturnya yang harus premium,keluar dikit iklan,mau ngekspor iklan,bahkan edit aja harus pro buat ngilangin wm????,aplikasi kikir kebanyakan iklan,dikit² pro,gausah bikin aplikasi mah kalo kaya gini;negatif
Pengguna Google;3;02/04/2025 06:38;Lumayan bagus cuman pro semua aku paling gasuka kalo pro harus bayar terus sering bug layarnya hitam tiba² teks nya jadi besar gitu kalo misalnya mau bikin percakapan gituu??;negatif
Pengguna Google;1;31/03/2025 05:22;gak bisa di dolwnload;negatif
Pengguna Google;5;28/03/2025 15:11;??;positif
Pengguna Google;1;28/03/2025 15:08;gak bisa di download padahal sinyal bagus paket masih banyak tapi gak bisa kesel;negatif
Pengguna Google;5;28/03/2025 15:08;semakin lama semakin banyak yang premium banyak iklan aplikasi semakin berat;negatif
Pengguna Google;5;28/03/2025 15:07;aku memang suka make capcut karana kali gk asa capcutrurhg wirnt;positif
Pengguna Google;2;28/03/2025 15:04;bagusss;positif
Pengguna Google;1;28/03/2025 15:03;App kebanyakan iklan nya.;netral
Pengguna Google;5;28/03/2025 14:59;apk nya bagus banyak templat yg cocok sama fotonya juga;positif
Pengguna Google;1;28/03/2025 14:58;kesel aj.. masa gue ngedit udh pas pas bagus klik penyempurnaan suara malah diacak2 lagi apk apaansi dah capek2 malah diacak2 hadeuhhhh.;negatif
Pengguna Google;3;28/03/2025 14:56;aplikasi ini cukup lumayan bagus tapi aplikasi ini juga sudah di download nya aplikasi ini membuat kita bisa mendapatkan uang hasil dari bikin JJ atau template;positif
Pengguna Google;4;28/03/2025 14:55;tolong iklan nya di hilangkan;negatif
Pengguna Google;5;28/03/2025 14:55;baguss bgt;positif
Pengguna Google;5;28/03/2025 14:53;??????;positif
Pengguna Google;5;28/03/2025 14:47;bisa edit foto menjadi lebih bagus;positif
Pengguna Google;1;28/03/2025 14:47;bagus sih cuma berat banget + iklannya banyak banget pula dan filter nya bada pro semua gimana mau ngadit , tolong ya di perbaiki lgi ?? udh MB nya banyak banget ?? memo saya jadi penuh ???????? dan filter nya tolong jangan di pro in saya mau ngedit tapi gak bisa gak punya uang ,jadi tolong hargain yg gak punya uang ??????????;netral
Pengguna Google;2;28/03/2025 14:41;kenapa sekarang jdi susah di download, padahal penyimpanan ngga penuh, bilang nya penuh;negatif
Pengguna Google;5;28/03/2025 14:41;Bagus bgt ????????????????;positif
Pengguna Google;2;28/03/2025 14:38;pliss ini knp dah ga bisa di download trs pdhl ruang nya cukup ga penuh tapi tetep aja ga bisaaaaaa gitu;negatif
Pengguna Google;5;28/03/2025 14:38;asik nyaman jelas jernih;positif
Pengguna Google;5;28/03/2025 14:35;mantap;positif
Pengguna Google;1;28/03/2025 14:34;Woi, efek Pudar Keluar & masuk nya mana? Dan kenapa semua serba Pro? Mata duitan? Apa gimana?;negatif
Pengguna Google;4;28/03/2025 14:31;bagus dan mudah di gunakan.;positif
Pengguna Google;1;28/03/2025 14:30;kebanyakan bayar sekarang;negatif
Pengguna Google;5;28/03/2025 14:30;inii sangat baguss;positif
Pengguna Google;2;28/03/2025 14:29;saya sudah dua kali donwolod tapi gak bisa;netral
Pengguna Google;3;28/03/2025 14:20;lebih baik versi yg lama ini gak bisa lagi ngedit vidio patah patah.. gak sebaik versi lama;negatif
Pengguna Google;1;28/03/2025 14:20;apaan jj gratis jadi pro harus bayar lagi,gw ga setuju titik. gratisiin,kalo engga bakal sepi capcut;negatif
Pengguna Google;1;28/03/2025 14:19;capcut tolol apk nda jelas asuk kedaong;negatif
Pengguna Google;5;28/03/2025 14:19;Bagus dan bermanfaat, sekedar usul yg ptemium masih terlalu mahal;netral
Pengguna Google;5;28/03/2025 14:16;sangat bagus;positif
Pengguna Google;5;28/03/2025 14:16;iya;netral
Pengguna Google;5;28/03/2025 14:15;bagus bngt aplikasi ny;positif
Pengguna Google;5;28/03/2025 14:14;bagus;positif
Pengguna Google;5;28/03/2025 14:10;cocok buat edit jj atau slowmo apk ini bagus banget buat kalian wajib download apk ini ????????;positif
Pengguna Google;5;28/03/2025 14:08;bagus karna bisa edit edit video ????????;positif
