Label Sentimen;cleaned_text
positif;mantap dan berkesan bagi sy
negatif;dulu zoom apk yang bagus sekarang mau pake background aja susah apk lain gampang tapi ini susah kalo di hp pake backgroundnya hp saya juga gak sekentang itu tolong di follow up dong nyusahin aja
negatif;gak jalan di galaxy tab gue
negatif;tidak bisa menemukan tombol latar belakang virtual di poco c
negatif;ganti bekrown nya gak bisa
negatif;kenapa virtual background gak support di semua hp padahal sudah versi baru dan ram hp sudah ram
negatif;saya tidak bisa buka virtual background padahal hp sudah diatas syarat dan program zoom sudah di update di play store mohon arahannya
netral;ribet pemasangan di hp kualitas terbaik
negatif;kalo di download nge stop sampe ga berlanjut tolong diperbaiki
positif;pertemuan bisa lebih lebih efisien karena tidak harus bertemu secara fisik
positif;berfungsi baik terimakasih
netral;jelas dan materi bisa ditayangkan dengan baik
negatif;zoom versi ini sulit banget dan gak jelas versi lama ganti virtual background gampang sekarang susah banget setting nya dan gak ada sama sekali kemudahan nya
negatif;virtual backgroundku ga bisa dipakai
negatif;knp zoom sayaa tidak bisa pake bagroud
negatif;buruk redmi tidak bisa ganti background laptop jg g suppory ganti background zman sdah canggih tp ko plih device hadeeeuuuhhhh blum kren banget shrusny bsa dtrapkan k device apapun fiturenya
netral;tekomunikasi jarak jauh
negatif;kenapa susah banget mau pasang background aja ribet tempatnya tersembunyi dan lagi an error occurred mulu jadi ga bisa di pake background nya perasaan hp ku ga kentang kentang amat dah tolong di perbaiki lagi klo lagi di luar dan ga bawa laptop jadi harus pake hp tapi kok ribet banget mau pake background aja aplikasi lain aja mudah banget atur background nya menurutku ini minus besar sih background itu penting buat nutupin kekacauan kita di belakang kita supaya bisa lebih formal dan sopan
negatif;hallo google tolong untuk aplikasi zoom untuk background bisa diakses untuk semua android dan ios ya jangan hanya diwindows dan safari saja terima kasih mungkin bisa lebih upgrade lagi untuk memudahkan kita semua dimanapun dan kapanpun kita mau akses dengan alat apapun
negatif;tidak compatible dengan tablet
negatif;kenapa zoom sekarang ini makin memberatkan beban kerja hp yaa ketimbang meringankan padahal ukurannya cuma mb lho waktu di download semula
netral;dari pandemi sampe skrg masih pake app ini untuk online meeting tapi setelah update terbaru di android masa ga bisa copy undangan seperti biasa malah seperti ini klik gabungrapaturl untuk memulai atau bergabung ke rapat zoom yang dijadwalkan
negatif;ga bisa pakai fitur edit latar belakang padahal sudah update new version
negatif;bagus tetapi biasa nya putus putus padahal wifinya sudah tinggi
negatif;samsung a g tidak ada figur background nya sayang sekali
netral;sejak ada covid th sampai sekarang masih menggunakan zoom utk komunikasi firtual
positif;membantu sekali bisa irit waktu kondisional
negatif;update support hp yang bisa virtual background dong padahal spek hp udah tinggi cuma karna ga termasuk yang support doang jadi gabisa pake fiturnya
positif;sangat bagus fungsinya
netral;kalo bisa saat baru join tolong off kan mic sama video nya
negatif;udah bagus cuma kenapa fitur background zoom di hp tidak ada ya tolong di adakan lagi seperti dulu
netral;disaat sinyal penuh ya aman aman saja gambar vidio oke suara oke pokoknya nyampah hampir tidak bisa diucapkan dengan kata kayak gitu
negatif;kenapa app zoom saya ini gak bisa pake virtual background ya sudah saya coba tp gagal dan jawabannya an error occurred teruss
negatif;background nya knp tdk bisa diganti
negatif;maaf boleh tanya gak kenapa saya dari dulu gak bisa download aplikasi zoom kalau ditanya ruang kebetulan ruang saya banyak dan saya juga bisa download aplikasi yang lain tapi kenapa zoom gak bisa yah boleh dibantu
positif;sangat membantu
